candidate_id,kind,name,street,city,region,postal_code,lat,lng,summary,category,disability_literate,disabled_owned,disabled_led,attribute_count,flags,source_url,source_notes
lincare-buffalo-orchard-park,provider,Lincare - Buffalo (Orchard Park),"40 Centre Drive, Suite 700",Orchard Park,Erie County,14127,,,"Erie County location of a national respiratory-care and durable medical equipment supplier providing oxygen therapy, sleep apnea equipment and in-home set-up and instruction.",business,False,False,False,0,coverage_only_no_attributes,https://www.lincare.com/en/locations/buffalo-lincare,"First-party location page ('Buffalo Lincare'): address 40 Centre Drive, Suite 700, Orchard Park, NY 14127 (Erie County - corrects the lead's vaguer 'Jamestown/Orchard Park/Canisteo' listing). Exact wording: '24/7 support and in-home instruction and set-up', 'respiratory and oxygen care', 'durable medical equipment', goal to 'keep you safe at home and out of the hospital.' Primarily an in-home service run from an office address; the page does not state whether customers can walk in, so treat showroom visitability as unconfirmed. disability_literate false = not yet attested, not a negative finding. No premises-access statements - zero attribute claims."
numotion-west-seneca,provider,Numotion - Buffalo (West Seneca),"2440 North America Dr, Ste 40",West Seneca,Erie County,14224,,,"Appointment-only Erie County branch of a national complex rehab technology supplier providing power wheelchairs, custom seating systems and mobility equipment.",business,False,False,False,0,coverage_only_no_attributes,https://www.numotion.com/locations/buffalo,"First-party location page confirms '2440 North America Drive Suite 40 West Seneca, NY 14224'. The page states the branch operates 'By Appointment Only' and that 'Service' is 'Not offered onsite' - no public retail floor, so listed as a provider rather than a place; customers visit only by scheduled appointment. Classified provider on that first-party basis. disability_literate false = not yet attested (CRT is disability-focused equipment, but no competence self-attestation captured). No statements about the premises' own physical access - zero attribute claims."
people-first-mobility,provider,People First Mobility,"800 Hertel Avenue, Suite 103",Buffalo,Erie County,14207,,,"Buffalo-based complex rehab and durable medical equipment provider offering in-home evaluations, equipment setup, training, repair and free loaner equipment for people with long-term disabilities, with assessments also available at its Hertel Avenue office.",business,True,False,False,0,coverage_only_no_attributes;org_status_unconfirmed,https://www.peoplefirstmobility.net/,"First-party site: address 800 Hertel Avenue, Suite 103, Buffalo, NY 14207 confirmed on both homepage and services page. Exact wording (services page): 'We offer in-home evaluations, free delivery, equipment setup and training, equipment repair, certified Assisted Technology Professionals (ATPs), certified repair technicians, free loaner equipment and hands-on trials'; 'We serve those with long-term developmental disabilities, cerebral palsy, mutliple sclerosis, muscular dystrophy, traumatic brain injury, Alzheimer's and dementia... the area's leading provider of pediatric mobility equipment.' Assessments happen 'at your home, school, Physical/Occupational therapist office, doctors office or our office' - the office is visitable by arrangement but no retail showroom is described. disability_literate true is grounded in the first-party certified-ATP statement and disability-specific service focus; still subject to formal self-attestation. The lead's 'division of People Inc.' claim was NOT found on the pages fetched (the /about-us page returned 403) - hence org_status_unconfirmed; verify affiliation before displaying it. No premises-access statements - zero attribute claims."
quick-access-llc,provider,Quick Access LLC,,Buffalo,Erie County,,,,"Locally owned, family-run Buffalo-area business that installs and services stairlifts, modular and portable ramps, automatic door openers and grab bars in customers' homes; no public showroom.",business,False,False,False,0,coverage_only_no_attributes;no_public_premises;missing_street_address,https://quickaccesswny.com/,"First-party site (live): exact product wording 'Stairlifts - Ramps - Door Openers - Used stairlifts - Modular Ramps - Portable Ramps - Service & Grab bars'; self-describes as 'a local family-owned business'; phone 716-359-9419 (Buffalo area code); Buffalo-local presence corroborated by Buffalo-based HomeAdvisor/Angi listings. The lead's street address (331 University Ave, Buffalo 14223) does NOT appear on the site and was not confirmed anywhere first-party - omitted rather than repeated. In-home installation service with no showroom found; can be listed honestly only as a service provider. No premises-access statements - zero attribute claims. disability_literate false = not yet attested."
ace-employment-services-restoration-society,provider,"Ace Employment Services (Restoration Society, Inc.)","327 Elm St., 2nd Floor",Buffalo,Erie County,14203,,,"A vocational rehabilitation program of Restoration Society, Inc. helping people with primary mental health conditions choose, get, and maintain competitive employment, including Ticket to Work services for SSI/SSDI beneficiaries.",disability_services,True,False,False,0,coverage_only_no_attributes,https://www.rsiwny.org/what-we-do/ace-employment.html,"First-party program page (fetched OK). Exact wording: offers 'a diverse range of vocational rehabilitation services that assist customers to choose, get and maintain preferred competitive employment positions'; participants 'have a primary mental health condition and desire to gain competitive employment status.' Buffalo site 327 Elm Street confirmed (second site in Batavia, Genesee County). Parent Restoration Society is not among seeded orgs. No physical-access statements found."
aspire-wny-emods-assistive-technology,provider,Aspire of WNY - Environmental Modifications (EMODS) & Assistive Technology,2356 N Forest Rd,Getzville,Erie County,14068,,,"Nonprofit program that helps people with developmental disabilities obtain funding for and coordinate installation of home modifications (ramps, lifts, accessible bathrooms) and adaptive technologies; the work is delivered in the client's home, not at a showroom.",disability_services,True,False,False,0,coverage_only_no_attributes;no_public_premises,https://www.aspirewny.org/services/central-intake/environmental-modifications-emods-assistive-technology/,"First-party service page (live 2026-07): 'The Environmental Modification & Assistive Technology (EMODS) team provides assistance to obtain funding for environmental modifications and adaptive technologies...'; referrals via 716.838.0047 option 1 / intake@aspirewny.org. Two lead-list rows merged into this one record - the site shows a single combined EMODS & AT program; no separate orthotics/AT-training service page found. Address corrected: the lead's 4635 Union Rd Cheektowaga is Aspire's Center for Learning (an educational program); the org's contact page lists only 2356 N Forest Rd, Getzville NY 14068 (Erie County). In-home coordination service, no public showroom. Caveat: a stale search snippet suggested a 4/17/24 referral pause, but the live page shows active referral instructions - re-check status at import. disability_literate reflects that this is an OPWDD disability-services nonprofit per its own site; formal self-attestation still needed. No statements about their own premises' physical access - zero attribute claims."
beyond-support-network-employment-services-tri-main,provider,Beyond Support Network — Employment Services (Tri-Main Center),"2495 Main St., Suite 342",Buffalo,Erie County,14214,,,The Buffalo employment-services site of Beyond Support Network offering Community Pre-Vocational Services and SEMP supported employment for people with developmental disabilities.,disability_services,True,False,False,1,duplicate_of_parent_check;source_fetch_403_reverify;general_accessible_flag_only,https://www.211wny.org/provider/11648/,"PARENT ALREADY SEEDED: Beyond Support Network is in batch 2 at its Depew campus (2049 George Urban Blvd) — this record is the DISTINCT Buffalo program site only. 211WNY (fetched OK) lists '2495 Main Street Suite 342 Buffalo, NY 14214' and names 'Community Pre-Vocational Services' and 'SEMP (Supported Employment)'. First-party beyondwny.org/work returned HTTP 403 (same 403 noted for the parent record) — reverify address and program wording on the live site. Attribute is a bare 211 'Handicap Accessible? Yes' flag, one conservative entrance claim per rules."
buffalo-therapeutic-riding-center,provider,"The Buffalo Therapeutic Riding Center, Inc.",950 Amherst St,Buffalo,Erie County,14216,,,"Accredited therapeutic horseback riding program for children with emotional, developmental, or physical challenges ages 5-18, housed in one of the largest indoor riding arenas in the nation.",disability_services,True,False,False,0,coverage_only_no_attributes;source_fetch_403_reverify,https://www.thebtrc.org/,"Org website blocks automated fetch (HTTP 403); details from search excerpts of thebtrc.org pages (/facility, /contact, /directions). Stated mission: 'to enhance the development and quality of life for special needs children in Western New York by providing an accredited therapeutic riding program in a safe and nurturing environment.' Address 950 Amherst St, Buffalo NY 14216 confirmed across thebtrc.org excerpts, GuideStar, and VolunteerWNY. Facility is shared with Buffalo Equestrian Center / SBS Farms (same building). Re-verify by manual visit to the site. No explicit physical-access statements found; therapeutic riding itself has no schema key."
center-for-self-advocacy,provider,Center for Self-Advocacy Inc.,"1021 Broadway St., 4th Floor",Buffalo,Erie County,14212,,,A Buffalo self-advocacy organization that works to advocate for equality and empower individuals with intellectual and developmental disabilities to actively participate in society.,disability_services,True,False,True,0,coverage_only_no_attributes;disabled_led_needs_confirmation,https://center4sa.org/about/,"First-party site (fetched OK). Purpose wording: 'advocate for equality and empower individuals with intellectual and developmental disabilities to actively participate in society'; homepage: 'We help people with developmental disabilities work, advocate within their communities, and have an independent and productive lifestyle.' About page describes leadership and peer-mentor staff with lived disability experience (self-advocate-led org) — basis for disabled_led, but NEEDS SELF-ATTESTATION AT ONBOARDING. Shares 1021 Broadway with the already-seeded SANYS Western Region but is a distinct incorporated org. No physical-access statements found."
community-services-for-every1,provider,Community Services for Every1,180 Oak St.,Buffalo,Erie County,14203,,,"A Buffalo human-services agency specializing in support for people with intellectual/developmental disabilities, people with chronic health and complex mental health concerns, and survivors of domestic violence, with adult services including vocational supports.",disability_services,True,False,False,0,coverage_only_no_attributes,https://www.csevery1.com/,"WEBSITE CORRECTED: lead's csevery1.org does not resolve (DNS dead); live first-party site is csevery1.com (fetched OK). Site wording: specializes in support for 'individuals with developmental disabilities, youth and adults with chronic health conditions and complex mental health concerns, and survivors of domestic violence'; banner 'Empowering Lives Through Connection.' HQ 180 Oak St. confirmed. Employment/pre-voc services per the lead and OPWDD/ACCES-VR referral model, but the fetched homepage shows 'Adult Services' generally — confirm the employment program wording at onboarding. No physical-access statements found."
